timestamp,layout.data_offset,data[0],data[1],data[2]
1752497245130203373,0.0,0.0,1.0,0.0
1752497245154945207,0.0,0.0,1.0,0.0
1752497245174276748,0.0,0.0,2.0,0.0
1752497245193341207,0.0,0.0,2.0,0.0
1752497245215043707,0.0,0.0,2.0,0.0
1752497245235493873,0.0,0.0,2.0,0.0
1752497245256971082,0.0,1.0,2.0,0.0
1752497245293548665,0.0,1.0,2.0,0.0
1752497245298282082,0.0,1.0,2.0,0.0
1752497245322220665,0.0,1.0,2.0,0.0
1752497245345581540,0.0,1.0,2.0,0.0
1752497245365152790,0.0,1.0,2.0,0.0
1752497245386580582,0.0,1.0,2.0,0.0
1752497245406399623,0.0,1.0,1.0,0.0
1752497245428789707,0.0,1.0,1.0,0.0
1752497245450724707,0.0,1.0,1.0,0.0
1752497245472260999,0.0,1.0,1.0,0.0
1752497245493326707,0.0,1.0,1.0,0.0
1752497245516560540,0.0,1.0,1.0,0.0
1752497245537202332,0.0,1.0,1.0,0.0
1752497245584741707,0.0,1.0,1.0,0.0
1752497245599528165,0.0,1.0,1.0,0.0
1752497245716445623,0.0,1.0,0.0,0.0
1752497245720076290,0.0,0.0,0.0,0.0
1752497245721117790,0.0,0.0,0.0,0.0
1752497245755746623,0.0,0.0,0.0,0.0
1752497245767140748,0.0,0.0,0.0,0.0
1752497245788633790,0.0,0.0,0.0,0.0
1752497245810554915,0.0,0.0,0.0,0.0
1752497245833040748,0.0,0.0,0.0,0.0
1752497245856066623,0.0,0.0,0.0,0.0
1752497245874885707,0.0,0.0,0.0,0.0
1752497245893642998,0.0,1.0,0.0,0.0
1752497245919130040,0.0,1.0,0.0,0.0
1752497245939258998,0.0,1.0,0.0,0.0
1752497245960637124,0.0,2.0,0.0,0.0
1752497245994008832,0.0,2.0,0.0,0.0
1752497246008158790,0.0,1.0,0.0,0.0
1752497246024691499,0.0,1.0,0.0,0.0
1752497246049460707,0.0,1.0,0.0,0.0
1752497246070119165,0.0,0.0,0.0,0.0
1752497246091157624,0.0,0.0,0.0,0.0
1752497246110367832,0.0,0.0,0.0,0.0
1752497246129960123,0.0,0.0,0.0,0.0
1752497246153920457,0.0,1.0,0.0,0.0
1752497246178795582,0.0,1.0,0.0,0.0
1752497246196574082,0.0,1.0,0.0,0.0
1752497246241595665,0.0,1.0,0.0,0.0
1752497246257957624,0.0,2.0,0.0,0.0
1752497246281691624,0.0,2.0,0.0,0.0
1752497246299071665,0.0,2.0,0.0,0.0
1752497246319595832,0.0,2.0,1.0,0.0
1752497246340748165,0.0,1.0,1.0,0.0
1752497246367874915,0.0,1.0,1.0,0.0
1752497246387472957,0.0,1.0,1.0,0.0
1752497246410258332,0.0,1.0,1.0,0.0
1752497246428082332,0.0,1.0,1.0,0.0
1752497246452287207,0.0,1.0,1.0,0.0
1752497246472633832,0.0,1.0,1.0,0.0
1752497246506546123,0.0,1.0,1.0,0.0
1752497246516435123,0.0,1.0,1.0,0.0
1752497246535290707,0.0,1.0,1.0,0.0
1752497246558814415,0.0,1.0,1.0,0.0
1752497246578029748,0.0,1.0,1.0,0.0
1752497246599499915,0.0,1.0,1.0,0.0
1752497246620789707,0.0,1.0,1.0,0.0
1752497246656162290,0.0,0.0,1.0,0.0
1752497246664758874,0.0,0.0,1.0,0.0
1752497246762627749,0.0,0.0,1.0,0.0
1752497246773293040,0.0,0.0,1.0,0.0
1752497246785266832,0.0,0.0,2.0,0.0
1752497246802104124,0.0,0.0,2.0,0.0
1752497246808475707,0.0,0.0,2.0,0.0
1752497246810915957,0.0,0.0,2.0,0.0
1752497246820890540,0.0,0.0,2.0,0.0
1752497246831773749,0.0,0.0,2.0,0.0
1752497246853839582,0.0,0.0,2.0,0.0
1752497246873169373,0.0,0.0,1.0,0.0
1752497246929195082,0.0,0.0,1.0,0.0
1752497246931258457,0.0,0.0,1.0,0.0
1752497246940476165,0.0,0.0,1.0,0.0
1752497246962734123,0.0,0.0,1.0,0.0
1752497246983549332,0.0,0.0,1.0,0.0
1752497247005694457,0.0,0.0,1.0,0.0
1752497247026498332,0.0,0.0,1.0,0.0
1752497247047345998,0.0,0.0,1.0,0.0
1752497247068370040,0.0,0.0,1.0,0.0
1752497247090204707,0.0,0.0,1.0,0.0
1752497247117213540,0.0,0.0,1.0,0.0
1752497247132081374,0.0,0.0,1.0,0.0
1752497247152192499,0.0,0.0,1.0,0.0
1752497247176033874,0.0,0.0,1.0,0.0
1752497247195077457,0.0,0.0,1.0,0.0
1752497247215922790,0.0,0.0,1.0,0.0
1752497247238948207,0.0,0.0,1.0,0.0
1752497247264081457,0.0,0.0,1.0,0.0
1752497247281807165,0.0,0.0,1.0,0.0
1752497247323817582,0.0,0.0,1.0,0.0
1752497247326271123,0.0,0.0,1.0,0.0
1752497247342241165,0.0,0.0,1.0,0.0
1752497247363412373,0.0,0.0,1.0,0.0
1752497247384612540,0.0,0.0,1.0,0.0
1752497247410044582,0.0,0.0,1.0,0.0
1752497247427921457,0.0,0.0,1.0,0.0
1752497247454083790,0.0,0.0,1.0,0.0
1752497247471803999,0.0,0.0,1.0,0.0
1752497247495242499,0.0,0.0,1.0,0.0
1752497247514282957,0.0,0.0,1.0,0.0
1752497247537057457,0.0,0.0,1.0,0.0
1752497247559153040,0.0,0.0,1.0,0.0
1752497247578901832,0.0,0.0,1.0,0.0
1752497247600762123,0.0,0.0,1.0,0.0
1752497247629367540,0.0,0.0,1.0,0.0
1752497247645408748,0.0,0.0,0.0,0.0
1752497247664818040,0.0,0.0,0.0,0.0
1752497247686736957,0.0,0.0,0.0,0.0
1752497247707492082,0.0,1.0,1.0,0.0
1752497247809648832,0.0,1.0,1.0,0.0
1752497247813357999,0.0,1.0,1.0,0.0
1752497247815298873,0.0,1.0,1.0,0.0
1752497247821821332,0.0,1.0,2.0,0.0
1752497247823808748,0.0,1.0,2.0,0.0
1752497247835340623,0.0,1.0,2.0,0.0
1752497247858232082,0.0,1.0,2.0,0.0
1752497247875842332,0.0,1.0,2.0,0.0
1752497247895052124,0.0,1.0,2.0,0.0
1752497247916442040,0.0,1.0,2.0,0.0
1752497247940802457,0.0,1.0,2.0,0.0
1752497247964022790,0.0,1.0,2.0,0.0
1752497247986220499,0.0,1.0,2.0,0.0
1752497248006143248,0.0,1.0,2.0,0.0
1752497248040747165,0.0,1.0,1.0,0.0
1752497248048748707,0.0,0.0,1.0,0.0
1752497248068074415,0.0,0.0,1.0,0.0
1752497248089014373,0.0,0.0,1.0,0.0
1752497248112604082,0.0,0.0,1.0,0.0
1752497248134091665,0.0,0.0,1.0,0.0
1752497248154667082,0.0,0.0,1.0,0.0
1752497248176356457,0.0,0.0,1.0,0.0
1752497248198525332,0.0,0.0,1.0,0.0
1752497248217746082,0.0,0.0,0.0,0.0
1752497248260720457,0.0,0.0,0.0,0.0
1752497248264790374,0.0,0.0,0.0,0.0
1752497248281541207,0.0,0.0,0.0,0.0
1752497248305870832,0.0,0.0,0.0,0.0
1752497248325388332,0.0,0.0,0.0,0.0
1752497248346907165,0.0,0.0,0.0,0.0
1752497248368004290,0.0,0.0,0.0,0.0
1752497248385675749,0.0,0.0,0.0,0.0
1752497248406498540,0.0,0.0,0.0,0.0
1752497248428120665,0.0,0.0,0.0,0.0
1752497248466433665,0.0,0.0,0.0,0.0
1752497248474772707,0.0,0.0,0.0,0.0
1752497248495443540,0.0,0.0,0.0,0.0
1752497248515853540,0.0,0.0,0.0,0.0
1752497248538651874,0.0,0.0,0.0,0.0
1752497248555440332,0.0,0.0,0.0,0.0
1752497248581260499,0.0,0.0,0.0,0.0
1752497248602197707,0.0,0.0,0.0,0.0
1752497248625172457,0.0,0.0,0.0,0.0
1752497248643821332,0.0,0.0,0.0,0.0
1752497248665702582,0.0,0.0,0.0,0.0
1752497248685229665,0.0,0.0,0.0,0.0
1752497248714907832,0.0,0.0,0.0,0.0
1752497248728612207,0.0,0.0,0.0,0.0
1752497248756991457,0.0,0.0,0.0,0.0
1752497248855802248,0.0,0.0,0.0,0.0
1752497248862996540,0.0,0.0,0.0,0.0
1752497248868602957,0.0,0.0,0.0,0.0
1752497248872794707,0.0,0.0,0.0,0.0
1752497248877588082,0.0,0.0,0.0,0.0
1752497248882205165,0.0,0.0,0.0,0.0
1752497248908228748,0.0,0.0,0.0,0.0
1752497248917562832,0.0,0.0,0.0,0.0
1752497248939523040,0.0,0.0,0.0,0.0
1752497248960654624,0.0,0.0,0.0,0.0
1752497248983665332,0.0,0.0,0.0,0.0
1752497249004409415,0.0,0.0,1.0,0.0
1752497249028068707,0.0,0.0,2.0,0.0
1752497249050088665,0.0,0.0,2.0,0.0
1752497249066556457,0.0,0.0,2.0,0.0
1752497249091620540,0.0,0.0,2.0,0.0
1752497249113076957,0.0,0.0,2.0,0.0
1752497249135159957,0.0,0.0,2.0,0.0
1752497249166307832,0.0,0.0,2.0,0.0
1752497249175391665,0.0,0.0,2.0,0.0
1752497249198393082,0.0,0.0,1.0,0.0
1752497249219748707,0.0,0.0,1.0,0.0
1752497249240534165,0.0,0.0,1.0,0.0
1752497249260831790,0.0,0.0,1.0,0.0
1752497249283372499,0.0,0.0,1.0,0.0
1752497249304224540,0.0,0.0,1.0,0.0
1752497249326399499,0.0,0.0,1.0,0.0
